Year,Bagnaia,Baylisst,Edwards,Gibernaus,Lorenzo,Martin,Pedrosa,Stoner
2003,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.8798932291753834,0.8701285690980765,0.8485184705780866,0.7798737408637949,0.6749463052281577
2004,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.7798737408637949,0.6749463052281577
2005,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.7798737408637949,0.6749463052281577
2006,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.7798737408637949,0.6749463052281577
2007,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.6358374366826081,0.6749463052281577
2008,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.036947069702221585,0.9776273666764254
2009,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8701285690980765,0.8485184705780866,0.5054600817565608,0.03325694351982752
2010,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.9818021999469935,0.8485184705780866,0.9739730938108999,0.8525748903435307
2011,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.8641273214361377,0.8485184705780866,0.43243756301212083,0.7880165883279606
2012,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.6462576390622503,0.8485184705780866,0.608624771226369,0.7506664516288487
2013,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.9801117582233897,0.8485184705780866,0.9672271550695114,0.7506664516288487
2014,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.9239503535528856,0.8485184705780866,0.7545667124010158,0.7506664516288487
2015,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.954201545890152,0.8485184705780866,0.5326190513344646,0.7506664516288487
2016,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.9844527382274184,0.8485184705780866,0.31067139026791335,0.7506664516288487
2017,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.06358406615395976,0.8485184705780866,0.31067139026791335,0.7506664516288487
2018,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.9738246284640291,0.8485184705780866,0.31067139026791335,0.7506664516288487
2019,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.8485184705780866,0.31067139026791335,0.7506664516288487
2020,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.8485184705780866,0.31067139026791335,0.7506664516288487
2021,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.8485184705780866,0.31067139026791335,0.7506664516288487
2022,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.8485184705780866,0.31067139026791335,0.7506664516288487
2023,0.7252964210969802,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.8485184705780866,0.31067139026791335,0.7506664516288487
2024,0.9810705600153734,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2025,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2026,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2027,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2028,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2029,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
2030,0.8593363874892669,0.7950934037716259,0.8698217069487622,0.43600195091944705,0.0403537657009488,0.6738906922543692,0.31067139026791335,0.7506664516288487
